Player Name,Points
Giannis Antetokounmpo,35
Collin Sexton,35
Klay Thompson,35
Anthony Edwards,34
Keyonte George,33
Lauri Markkanen,14
John Collins,13
Rudy Gobert,12
Vince Williams Jr.,12
Brook Lopez,11
Giannis Antetokounmpo,12
Stephen Curry,10
Jordan Clarkson,9
Collin Sexton,9
Brandin Podziemski,8
Brook Lopez,4
Toumani Camara,2
Rudy Gobert,2
Draymond Green,2
Karl-Anthony Towns,2
Draymond Green,4
Deandre Ayton,3
Keyonte George,3
Ziaire Williams,3
Dalano Banton,2
Anfernee Simons,5
Stephen Curry,4
Damian Lillard,4
Jordan Clarkson,3
Kris Dunn,3
Keyonte George,9
Klay Thompson,7
GG Jackson,6
Lauri Markkanen,4
Ziaire Williams,4
Collin Sexton,12
Anthony Edwards,7
Damian Lillard,7
Jordan Clarkson,6
Stephen Curry,6
Anthony Edwards,59.7
Giannis Antetokounmpo,56.8
Collin Sexton,55.1
Draymond Green,54.5
